id,assetId,name,category,ratio,sourceWidth,sourceHeight,sourceFormat,sourceBytes,resolutionRequirement,resolutionPass,status,blockReason,thumbnailPath,thumbnailWidth,thumbnailHeight,publicationPath,publicationSha256
AST-B31493970,BRAND-001,BRAND-001_vandry_program_lockup_preview_v1.png,Identidade,16:9,2048,1152,PNG,72836,Content thumbnail 16:9 — minimum 1280×720,True,APPROVED,,assets/thumbs/AST-B31493970.webp,512,288,assets/publish/BRAND-001_vandry_program_lockup_preview_v1.png,5668745735dfef619d3d6ac521dc09ec82470e0176ccdf3f7e3d7fe0d48d341e
AST-8FC615046,BRAND-001,BRAND-001_vandry_program_symbol_v1.png,Identidade,1:1,2048,2048,PNG,28202,Quote card 1:1 — minimum 1080×1080,True,APPROVED,,assets/thumbs/AST-8FC615046.webp,512,512,assets/publish/BRAND-001_vandry_program_symbol_v1.png,12374c091c7e77f3a5d8e37ac013fe2034c5784971405032d03d171d564fc6ec
AST-49CBE964B,BRAND-001,BRAND-001_vandry_program_symbol_v1.svg,Identidade,1:1,2048,2048,SVG,626,Vector publication source,True,APPROVED,,assets/thumbs/AST-49CBE964B.webp,384,384,assets/publish/BRAND-001_vandry_program_symbol_v1.svg,2b590dec863208a48d9b26d917741a32cc5c02189fcb9a36adb2401a1fbbd247
AST-DD1F8E9CC,DIAG-001,DIAG-001_column_400m_v1.png,Identidade,1:2,3200,6400,PNG,620498,Cover/scene/reference raster — minimum 1600 px on longest edge,True,APPROVED,,assets/thumbs/AST-DD1F8E9CC.webp,256,512,assets/publish/DIAG-001_column_400m_v1.png,d25e54a3446ce0ac21f8db7531537b660ea6d78813cbbdd5898de38de2b0fb86
AST-ABD99285D,OWD,OWD_series_cover_candidate_v1.jpg,Identidade,5:8,1600,2560,JPEG,335853,Cover/scene/reference raster — minimum 1600 px on longest edge,True,APPROVED,,assets/thumbs/AST-ABD99285D.webp,320,512,assets/publish/OWD_series_cover_candidate_v1.jpg,69e39c04935f35047c244bec2ca79b34cbf678de44eb13f9026cadba7d085e37
AST-7060FEC09,THUMB-TEMPLATE-001,THUMB-TEMPLATE-001_depth_editable_v1.svg,Identidade,16:9,1280,720,SVG,768,Vector publication source,True,APPROVED,,assets/thumbs/AST-7060FEC09.webp,384,384,assets/publish/THUMB-TEMPLATE-001_depth_editable_v1.svg,f6ca07c068f758c334840caa08a6721abd2cb9361d166ef54e0f26aa576a883a
AST-3609D13E7,THUMB-TEMPLATE-001,THUMB-TEMPLATE-001_depth_preview_v1.jpg,Identidade,16:9,1280,720,JPEG,103934,Content thumbnail 16:9 — minimum 1280×720,True,APPROVED,,assets/thumbs/AST-3609D13E7.webp,512,288,assets/publish/THUMB-TEMPLATE-001_depth_preview_v1.jpg,2a5a9989fbaf472f75fe28a0be9e0540704635891dc19dd42327f8c801273916
AST-6ED59E6FB,THUMB-TEMPLATE-002,THUMB-TEMPLATE-002_latency_editable_v1.svg,Identidade,16:9,1280,720,SVG,811,Vector publication source,True,APPROVED,,assets/thumbs/AST-6ED59E6FB.webp,384,384,assets/publish/THUMB-TEMPLATE-002_latency_editable_v1.svg,acd1eb92d315f1497576f0029fa11a0a05fb73a4481280220719c0e8d385b11c
AST-C1DE73649,THUMB-TEMPLATE-002,THUMB-TEMPLATE-002_latency_preview_v1.jpg,Identidade,16:9,1280,720,JPEG,76758,Content thumbnail 16:9 — minimum 1280×720,True,APPROVED,,assets/thumbs/AST-C1DE73649.webp,512,288,assets/publish/THUMB-TEMPLATE-002_latency_preview_v1.jpg,b5229b79de2e657eccbd42617beb5353debba9ee4e5d5a0465480ca6908ee016
AST-6F34F8FD3,THUMB-TEMPLATE-003,THUMB-TEMPLATE-003_decision_editable_v1.svg,Identidade,16:9,1280,720,SVG,779,Vector publication source,True,APPROVED,,assets/thumbs/AST-6F34F8FD3.webp,384,384,assets/publish/THUMB-TEMPLATE-003_decision_editable_v1.svg,f774f0ac28b7012eb8afe407e46d7740000a30844215dcda274cef6d70476d6e
